City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Charters Towers,AU,79.54,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
407,Bambanglipuro,ID,75.38,broken clouds,-7.95,110.2833,Puri Brata
409,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
413,Victoria Point,AU,84.18,overcast clouds,-27.5833,153.3,Bay Retreat Motel
415,Gigmoto,PH,75.16,overcast clouds,13.7796,124.39,Cj's Travellers Inn
420,Imbituba,BR,74.7,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
422,Ogbomosho,NG,80.78,scattered clouds,8.133,4.25,Living Soul Garden Hotel
425,Salta,AR,79.39,few clouds,-24.7859,-65.4117,Hotel Alejandro I
431,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
432,Flinders,AU,76.17,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
434,Codajas,BR,74.21,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
435,Katobu,ID,77.29,overcast clouds,-4.9408,122.5276,La Ode Husein
439,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
443,Bac Lieu,VN,75.29,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
447,Itupiranga,BR,80.92,broken clouds,-5.1347,-49.3267,Hotel Panorama
448,Lafia,NG,81.97,scattered clouds,8.4833,8.5167,Low Cost Housing Estate
452,General Roca,AR,77.63,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
455,Lorengau,PG,81.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
456,Corralillo,CU,75.74,moderate rain,22.9819,-80.5856,Hostal De Pedri
457,Borba,BR,74.37,light rain,-4.3878,-59.5939,Hotel da Amazônia
458,Sabang,ID,79.9,overcast clouds,5.8933,95.3214,Hotel Citra
459,Trinidad,BO,85.98,broken clouds,-14.8333,-64.9,Hotel Piesta
460,Isangel,VU,87.91,scattered clouds,-19.55,169.2667,Tanna Lodge
464,Kendari,ID,75.96,overcast clouds,-3.945,122.4989,Hotel Wixel
466,Paita,PE,72.9,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
473,Palmas Bellas,PA,84.34,few clouds,9.2319,-80.0867,Costa bao
475,Mitsamiouli,KM,81.57,overcast clouds,-11.3847,43.2844,Foyer ADM
478,Santo Antonio Do Ica,BR,75.94,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
479,El Alto,PE,74.86,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
480,Jacareacanga,BR,73.85,moderate rain,-6.2222,-57.7528,Casa do Ian😎
494,Namatanai,PG,82.94,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
495,Mana,GF,74.01,few clouds,5.6592,-53.7767,LE SAMANA
507,General Pico,AR,84.63,clear sky,-35.6566,-63.7568,Euskadi Hotel
508,Cumbitara,CO,72.72,moderate rain,1.6517,-77.5823,ANCIANATO SAN JOSÉ
510,Celestun,MX,79.03,few clouds,20.8667,-90.4,Posada Lilia
511,Lahaina,US,78.94,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
512,Camopi,GF,70.99,scattered clouds,3.1655,-52.3158,La pousada
514,Axim,GH,79.38,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
516,Camapua,BR,74.35,overcast clouds,-19.5314,-54.0439,Comercial Estrela
518,Taltal,CL,71.1,few clouds,-25.4,-70.4833,Residencial Karime
521,Lotofaga,WS,87.58,few clouds,-13.9764,-171.8578,Vai Villas
523,Kieta,PG,78.64,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
524,Yulara,AU,82.36,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
526,Mahibadhoo,MV,79.27,overcast clouds,3.7833,72.9667,Omadhoo Inn
527,Pital,CO,73.38,overcast clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
528,Campina Verde,BR,71.24,overcast clouds,-19.5356,-49.4864,Hotel Lino
531,Santa Cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
543,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
545,Canoa,DO,80.31,broken clouds,18.355,-71.1585,Col julia
550,Miandrivazo,MG,77.52,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
554,Zwedru,LR,73.26,broken clouds,6.0667,-8.1281,Elijah Worjloh
558,Kaeo,NZ,75.33,broken clouds,-35.1,173.7833,Bushido Lodge
564,Bandarbeyla,SO,74.61,broken clouds,9.4942,50.8122,JABIR HOTEL
567,Singarayakonda,IN,70.81,scattered clouds,15.25,80.0333,Hotel Sabari Paradise A/C Lodge
569,Grand Gaube,MU,73.8,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
578,Yambio,SS,72.84,few clouds,4.5721,28.3955,Naivasha Hotel
584,Dom Pedro,BR,73.81,scattered clouds,-4.4833,-44.45,Pousada Santa Amália
586,Dennery,LC,77.09,few clouds,13.8996,-60.8879,The Fox Grove Inn
594,Iguai,BR,72.5,broken clouds,-14.7564,-40.0892,CadHotel
595,Lazaro Cardenas,MX,82.98,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
596,Wembley,AU,70.68,clear sky,-31.9333,115.8,Floreat Garden
598,Cap Malheureux,MU,73.47,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
601,Carutapera,BR,74.8,overcast clouds,-1.195,-46.02,Lidera
602,Hoopstad,ZA,74.82,scattered clouds,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
